location,latitude,longitude,magnitude,depth,day,hour,minute,sec
KORKMAZ-GOKSUN (KAHRAMANMARAS),38.0842,36.7765,3.8, 5.3 km,10,21,26,19
ASAGIBILENLER-ISLAHIYE (GAZIANTEP),36.8948,36.6475,3.1, 5.0 km,10,21,6,4
HANCAGIZ-SAMANDAG (HATAY),36.1535,36.0812,3.6, 8.5 km,10,20,50,46
KEMALPASA-GOKSUN (KAHRAMANMARAS),38.0985,36.9243,3.4, 5.0 km,10,20,35,28
ULUKOY-(MALATYA),38.1712,38.5793,4.1, 4.7 km,10,20,31,23
KAZANDERE-GOKSUN (KAHRAMANMARAS),37.9438,36.2668,4.7, 4.9 km,10,20,0,49
IZCI-SURUC (SANLIURFA),36.9622,38.272,3.7,10.3 km,10,19,43,22
SUCATI-(KAHRAMANMARAS),37.7662,36.731,3.6, 5.4 km,10,19,26,11
GOZENE-YESILYURT (MALATYA),38.1915,38.018,3.1, 3.5 km,10,19,0,28
KIRECKOY-GOKSUN (KAHRAMANMARAS),37.9877,36.5065,3.3, 5.1 km,10,18,58,56
ERKENEK-DOGANSEHIR (MALATYA),37.9763,37.927,3.4, 5.0 km,10,18,29,20
GUCUKSU-GOKSUN (KAHRAMANMARAS),38.0563,36.6262,3, 8.6 km,10,18,6,51
BALPINARI-PUTURGE (MALATYA),38.2558,38.7638,3.2, 5.0 km,10,17,26,12
AGCASAR-NURHAK (KAHRAMANMARAS),38.0418,37.347,3, 5.0 km,10,17,20,37
KORUCAK-CELIKHAN (ADIYAMAN),38.0598,38.3798,3.2, 4.8 km,10,17,14,29
AGCASAR-NURHAK (KAHRAMANMARAS),38.0537,37.3128,3.1, 9.7 km,10,17,12,11
SOGUTLU-PAZARCIK (KAHRAMANMARAS),37.503,37.191,3.2,10.8 km,10,17,9,2
MESTAN-(ADIYAMAN),37.9992,38.254,3.4, 5.0 km,10,16,40,28
ELDELEK-ELBISTAN (KAHRAMANMARAS),38.2805,37.2928,3, 5.0 km,10,16,33,14
KAVSUT-GOKSUN (KAHRAMANMARAS),38.1833,36.5828,3.1,13.6 km,10,16,26,52
OLUKLU-YESILYURT (MALATYA),38.2012,38.0702,3.5, 5.0 km,10,16,2,41
GORGU-YESILYURT (MALATYA),38.2892,38.119,3.9, 5.0 km,10,15,52,39
ORTULU-MADEN (ELAZIG),38.5473,39.6653,3.7, 5.0 km,10,15,46,18
KEMALPASA-GOKSUN (KAHRAMANMARAS),38.1098,36.9072,3.5, 5.6 km,10,15,33,14
YOGUNOLUK-GOKSUN (KAHRAMANMARAS),37.9192,36.3588,3.2, 3.0 km,10,15,17,8
AHMETCIK-GOKSUN (KAHRAMANMARAS),38.0225,36.6542,3.4,12.4 km,10,15,5,26
ALAPINAR-KOZAN (ADANA),37.3415,35.8463,3,14.6 km,10,14,29,43
